id;name;category;unit;protein_type;notes
387c54fc-f1dc-4f35-adfc-44cb6959a594;cebola branca;vegetable;piece;;
9c33dab5-c1f9-43db-8d82-cd04378c4a01;cebola doce;vegetable;piece;;
45af5609-12e4-4d71-87b3-05082a60ab2d;cebola em pó;seasoning;piece;;
aec69157-b02c-44a8-bbbe-65804ee30e34;cebola pérola;vegetable;piece;;
950d69a4-95cd-4248-8de6-6b74b6d78cd8;cebola roxa;vegetable;piece;;
85f3f802-252d-4fae-b5ca-519d22ceb045;cebolete;seasoning;cup;;
1ed7a163-61fb-4f37-b0de-baedf686f170;cebolinha;vegetable;cup;;
f88244fe-d54f-414a-b313-100f6bf9f979;cenouras;vegetable;g;;
cab4d6d6-f488-4ed5-a739-35e6d76c19c6;cerveja;other;ml;;
ea62a6a6-c20b-48bc-938e-58d8fa15fb16;chalotas;vegetable;g;;
78e8825f-1a79-4451-a499-8e3860ebc9a7;chipotle com adobo;vegetable;tbsp;;
56f8c75d-355e-4a41-9f60-944a2a24abdf;chips de chocolate;other;g;;
4c5a48e0-7e1a-4b33-8002-04ab20dc18ee;chocolate em pó;other;cup;;
7430e2f2-4b43-4dd8-9c3e-44de265618e3;chuchu;vegetable;piece;;
99e4bbc0-af9d-42d2-bd63-dab1cf38ee82;claras de ovos;protein;piece;other;
32bb63bb-a07e-4b99-8c1e-211f689df756;coco;fruit;piece;;
2ada0fb6-a429-4858-ac4f-f7bda49fcd3e;coco ralado sem sal;other;cup;;
b2999d6a-512b-4f14-8c85-bb21725a89d4;coentro;seasoning;bunch;;
d85f6a77-a8cc-49e4-b89f-10f106432762;cogumelos;vegetable;g;;
5aecab55-1304-4607-95a0-655c66029135;cominho;seasoning;tsp;;
37f9dba5-2352-4df8-b52c-4fe55d79fa18;contra-filé;protein;g;beef;
c4b33a01-66f1-4604-9fd3-4913ddf2690d;copalombo ?;protein;g;pork;
6449b5cd-6cb5-4f53-8fcc-35731e5bff55;copalombo;protein;g;pork;
